sl_no,gender,ssc_p,hsc_p,degree_p,workex,etest_p,mba_p,status,salary
1,M,67,91,58,No,55,58.8,Placed,270000
2,M,79.33,78.33,77.48,Yes,86.5,66.28,Placed,200000
3,M,65,68,64,No,75,57.8,Placed,250000
4,M,56,52,52,No,66,59.43,Not Placed,
5,M,85.8,73.6,73.3,No,96.8,55.5,Placed,425000
6,M,55,49.8,67.25,Yes,55,51.58,Not Placed,
7,F,46,49.2,79,No,74.28,53.29,Not Placed,
8,M,82,64,66,Yes,67,62.14,Placed,252000
9,M,73,79,72,No,91.34,61.29,Placed,231000
10,M,58,70,61,No,54,52.21,Not Placed,
11,M,58,61,60,Yes,62,60.85,Placed,260000
12,M,69.6,68.4,78.3,Yes,60,63.7,Placed,250000
13,F,47,55,65,No,62,65.04,Not Placed,
14,F,77,87,59,No,68,68.63,Placed,218000
15,M,62,47,50,No,76,54.96,Not Placed,
16,F,65,75,69,Yes,72,64.66,Placed,200000
17,M,63,66.2,65.6,Yes,60,62.54,Placed,300000
18,F,55,67,64,No,60,67.28,Not Placed,
19,F,63,66,64,No,68,64.08,Not Placed,
20,M,60,67,70,Yes,50.48,77.89,Placed,236000
21,M,62,65,66,No,50,56.7,Placed,265000
22,F,79,76,85,No,95,69.06,Placed,393000
23,F,69.8,60.8,72.23,No,55.53,68.81,Placed,360000
24,F,77.4,60,64.74,Yes,92,63.62,Placed,300000
25,M,76.5,97.7,78.86,No,97.4,74.01,Placed,360000
26,F,52.58,54.6,50.2,Yes,76,65.33,Not Placed,
27,M,71,79,66,Yes,94,57.55,Placed,240000
28,M,63,67,66,No,68,57.69,Placed,265000
29,M,76.76,76.5,67.5,Yes,73.35,64.15,Placed,350000
30,M,62,67,58,No,77,51.29,Not Placed,
31,F,64,73.5,73,No,52,56.7,Placed,250000
32,F,67,53,65,No,64,58.32,Not Placed,
33,F,61,81,66.4,No,50.89,62.21,Placed,278000
34,F,87,65,81,Yes,88,72.78,Placed,260000
35,M,62,51,52,No,68.44,62.77,Not Placed,
36,F,69,78,72,No,71,62.74,Placed,300000
37,M,51,44,57,No,64,51.45,Not Placed,
38,F,79,76,65.6,No,58,55.47,Placed,320000
39,F,73,58,66,No,53.7,56.86,Placed,240000
40,M,81,68,64,No,93,62.56,Placed,411000
41,F,78,77,80,No,60,66.72,Placed,287000
42,F,74,63.16,65,Yes,65,69.76,Not Placed,
43,M,49,39,65,No,63,51.21,Not Placed,
44,M,87,87,68,No,95,62.9,Placed,300000
45,F,77,73,81,Yes,89,69.7,Placed,200000
46,F,76,64,72,No,58,66.53,Not Placed,
47,F,70.89,71.98,65.6,No,68,71.63,Not Placed,
48,M,63,60,57,Yes,78,54.55,Placed,204000
49,M,63,62,68,No,64,62.46,Placed,250000
50,F,50,37,52,No,65,56.11,Not Placed,
51,F,75.2,73.2,68.4,No,65,62.98,Placed,200000
52,M,54.4,61.12,56.2,No,67,62.65,Not Placed,
53,F,40.89,45.83,53,No,71.2,65.49,Not Placed,
54,M,80,70,72,No,87,71.04,Placed,450000
55,F,74,60,69,No,78,65.56,Placed,216000
56,M,60.4,66.6,65,No,71,52.71,Placed,220000
57,M,63,71.4,61.4,No,68,66.88,Placed,240000
58,M,68,76,74,No,80,63.59,Placed,360000
59,M,74,62,68,No,74,57.99,Placed,268000
60,M,52.6,65.58,72.11,No,57.6,56.66,Placed,265000
61,M,74,70,72,Yes,60,57.24,Placed,260000
62,M,84.2,73.4,66.89,No,61.6,62.48,Placed,300000
63,F,86.5,64.2,67.4,No,59,59.69,Placed,240000
64,M,61,70,64,No,68.5,59.5,Not Placed,
65,M,80,73,75,No,61,58.78,Placed,240000
66,M,54,47,57,No,89.69,57.1,Not Placed,
67,M,83,74,66,No,68.92,58.46,Placed,275000
68,M,80.92,78.5,67,No,68.71,60.99,Placed,275000
69,F,69.7,47,72.7,No,79,59.24,Not Placed,
70,M,73,73,66,Yes,70,68.07,Placed,275000
71,M,82,61,62,No,89,65.45,Placed,360000
72,M,75,70.29,71,No,95,66.94,Placed,240000
73,M,84.86,67,78,No,95.5,68.53,Placed,240000
74,M,64.6,83.83,71.72,No,86,59.75,Placed,218000
75,M,56.6,64.8,70.2,No,84.27,67.2,Placed,336000
76,F,59,62,77.5,No,74,67,Not Placed,
77,F,66.5,70.4,71.93,No,61,64.27,Placed,230000
78,M,64,80,65,Yes,69,57.65,Placed,500000
79,M,84,90.9,64.5,No,86.04,59.42,Placed,270000
80,F,69,62,66,No,75,67.99,Not Placed,
81,F,69,62,69,Yes,67,62.35,Placed,240000
82,M,81.7,63,67,Yes,86,70.2,Placed,300000
83,M,63,67,74,No,82,60.44,Not Placed,
84,M,84,79,68,Yes,84,66.69,Placed,300000
85,M,70,63,70,Yes,55,62,Placed,300000
86,F,83.84,89.83,77.2,Yes,78.74,76.18,Placed,400000
87,M,62,63,64,No,67,57.03,Placed,220000
88,M,59.6,51,60,No,75,59.08,Not Placed,
89,F,66,62,73,No,58,64.36,Placed,210000
90,F,84,75,69,Yes,62,62.36,Placed,210000
91,F,85,90,82,No,92,68.03,Placed,300000
92,M,52,57,50.8,No,67,62.79,Not Placed,
93,F,60.23,69,66,No,72,59.47,Placed,230000
94,M,52,62,54,No,72,55.41,Not Placed,
95,M,58,62,64,No,53.88,54.97,Placed,260000
96,M,73,78,65,Yes,95.46,62.16,Placed,420000
97,F,76,70,76,Yes,66,64.44,Placed,300000
98,F,70.5,62.5,61,No,93.91,69.03,Not Placed,
99,F,69,73,65,No,70,57.31,Placed,220000
100,M,54,82,63,No,50,59.47,Not Placed,
101,F,45,57,58,Yes,56.39,64.95,Not Placed,
102,M,63,72,68,No,78,60.44,Placed,380000
103,F,77,61,68,Yes,57.5,61.31,Placed,300000
104,M,73,78,73,Yes,85,65.83,Placed,240000
105,M,69,63,65,Yes,55,58.23,Placed,360000
106,M,59,64,58,No,85,55.3,Not Placed,
107,M,61.08,50,54,No,71,65.69,Not Placed,
108,M,82,90,83,No,80,73.52,Placed,200000
109,M,61,82,69,No,84,58.31,Placed,300000
110,M,52,63,65,Yes,86,56.09,Not Placed,
111,F,69.5,70,72,No,57.2,54.8,Placed,250000
112,M,51,54,61,No,60,60.64,Not Placed,
113,M,58,61,61,No,58,53.94,Placed,250000
114,F,73.96,79,67,No,72.15,63.08,Placed,280000
115,M,65,68,69,No,53.7,55.01,Placed,250000
116,F,73,63,66,No,89,60.5,Placed,216000
117,M,68.2,72.8,66.6,Yes,96,70.85,Placed,300000
118,M,77,75,73,No,80,67.05,Placed,240000
119,M,76,80,78,Yes,97,70.48,Placed,276000
120,M,60.8,68.4,64.6,Yes,82.66,64.34,Placed,940000
121,M,58,40,59,No,73,58.81,Not Placed,
122,F,64,67,69.6,Yes,55.67,71.49,Placed,250000
123,F,66.5,66.8,69.3,Yes,80.4,71,Placed,236000
124,M,74,59,73,Yes,60,56.7,Placed,240000
125,M,67,71,64.33,Yes,64,61.26,Placed,250000
126,F,84,73,73,No,75,73.33,Placed,350000
127,F,79,61,75.5,Yes,70,68.2,Placed,210000
128,F,72,60,69,No,55.5,58.4,Placed,250000
129,M,80.4,73.4,77.72,Yes,81.2,76.26,Placed,400000
130,M,76.7,89.7,66,Yes,90,68.55,Placed,250000
131,M,62,65,60,No,84,64.15,Not Placed,
132,F,74.9,57,62,Yes,80,60.78,Placed,360000
133,M,67,68,64,Yes,74.4,53.49,Placed,300000
134,M,73,64,77,Yes,65,60.98,Placed,250000
135,F,77.44,92,72,Yes,94,67.13,Placed,250000
136,F,72,56,69,No,55.6,65.63,Placed,200000
137,F,47,59,64,No,78,61.58,Not Placed,
138,M,67,63,72,No,56,60.41,Placed,225000
139,F,82,64,73,Yes,96,71.77,Placed,250000
140,M,77,70,59,Yes,58,54.43,Placed,220000
