Student_id,Age,Gender,Grade,Employed
1,19,Male,1,yes
2,20,Female,2,no
3,18,Male,1,no
4,21,Female,2,no
5,19,Male,1,no
6,20,Male,2,yes
7,19,Female,3,yes
8,21,Male,3,yes
9,22,Female,3,yes
10,21,Male,1,no
11,20,Female,3,yes
12,20,Male,1,no
13,19,Male,1,yes
14,20,Female,3,no
15,19,Male,1,yes
16,19,Female,2,no
17,20,Male,2,yes
18,18,Female,3,no
19,21,Male,2,yes
20,19,Male,2,no
21,20,Female,3,yes
22,19,Male,2,no
23,21,Female,2,yes
24,22,Male,3,no
25,21,Female,1,no
26,20,Male,2,no
27,20,Male,3,no
28,19,Female,1,no
29,20,Male,3,no
30,19,Male,1,yes
31,20,Female,2,no
32,18,Male,1,no
33,21,Female,2,no
34,19,Male,1,no
35,20,Male,2,yes
36,19,Female,3,yes
37,21,Male,3,yes
38,22,Female,3,yes
39,21,Male,1,no
40,20,Female,3,yes
41,20,Male,1,no
42,19,Male,1,yes
43,20,Female,3,no
44,19,Male,1,yes
45,19,Female,2,no
46,20,Male,2,yes
47,18,Female,3,no
48,21,Male,2,yes
49,19,Male,2,no
50,20,Female,3,yes
51,19,Male,2,no
52,21,Female,2,yes
53,22,Male,3,no
54,21,Female,1,no
55,20,Male,2,no
56,20,Male,3,no
57,19,Female,1,no
58,20,Male,3,no
59,19,Male,1,yes
60,20,Female,2,no
61,18,Male,1,no
62,21,Female,2,no
63,19,Male,1,no
64,20,Male,2,yes
65,19,Female,3,yes
66,21,Male,3,yes
67,22,Female,3,yes
68,21,Male,1,no
69,20,Female,3,yes
70,20,Male,1,no
71,19,Male,1,yes
72,20,Female,3,no
73,19,Male,1,yes
74,19,Female,2,no
75,20,Male,2,yes
76,18,Female,3,no
77,21,Male,2,yes
78,19,Male,2,no
79,20,Female,3,yes
80,19,Male,2,no
81,21,Female,2,yes
82,22,Male,3,no
83,21,Female,1,no
84,20,Male,2,no
85,20,Male,3,no
86,19,Female,1,no
87,20,Male,3,no
88,19,Male,1,yes
89,20,Female,2,no
90,18,Male,1,no
91,21,Female,2,no
92,19,Male,1,no
93,20,Male,2,yes
94,19,Female,3,yes
95,21,Male,3,yes
96,22,Female,3,yes
97,21,Male,1,no
98,20,Female,3,yes
99,20,Male,1,no
100,19,Male,1,yes
101,20,Female,3,no
102,19,Male,1,yes
103,19,Female,2,no
104,20,Male,2,yes
105,18,Female,3,no
106,21,Male,2,yes
107,19,Male,2,no
108,20,Female,3,yes
109,19,Male,2,no
110,21,Female,2,yes
111,22,Male,3,no
112,21,Female,1,no
113,20,Male,2,no
114,20,Male,3,no
115,19,Female,1,no
116,20,Male,3,no
117,19,Male,1,yes
118,20,Female,2,no
119,18,Male,1,no
120,21,Female,2,no
121,19,Male,1,no
122,20,Male,2,yes
123,19,Female,3,yes
124,21,Male,3,yes
125,22,Female,3,yes
126,21,Male,1,no
127,20,Female,3,yes
128,20,Male,1,no
129,19,Male,1,yes
130,20,Female,3,no
131,19,Male,1,yes
132,19,Female,2,no
133,20,Male,2,yes
134,18,Female,3,no
135,21,Male,2,yes
136,19,Male,2,no
137,20,Female,3,yes
138,19,Male,2,no
139,21,Female,2,yes
140,22,Male,3,no
141,21,Female,1,no
142,20,Male,2,no
143,20,Male,3,no
144,19,Female,1,no
145,20,Male,3,no
146,19,Male,1,yes
147,20,Female,2,no
148,18,Male,1,no
149,21,Female,2,no
150,19,Male,1,no
151,20,Male,2,yes
152,19,Female,3,yes
153,21,Male,3,yes
154,22,Female,3,yes
155,21,Male,1,no
156,20,Female,3,yes
157,20,Male,1,no
158,19,Male,1,yes
159,20,Female,3,no
160,19,Male,1,yes
161,19,Female,2,no
162,20,Male,2,yes
163,18,Female,3,no
164,21,Male,2,yes
165,19,Male,2,no
166,20,Female,3,yes
167,19,Male,2,no
168,21,Female,2,yes
169,22,Male,3,no
170,21,Female,1,no
171,20,Male,2,no
172,20,Male,3,no
173,19,Female,1,no
174,20,Male,3,no
175,19,Male,1,yes
176,20,Female,2,no
177,18,Male,1,no
178,21,Female,2,no
179,19,Male,1,no
180,20,Male,2,yes
181,19,Female,3,yes
182,21,Male,3,yes
183,22,Female,3,yes
184,21,Male,1,no
185,20,Female,3,yes
186,20,Male,1,no
187,19,Male,1,yes
188,20,Female,3,no
189,19,Male,1,yes
190,19,Female,2,no
191,20,Male,2,yes
192,18,Female,3,no
193,21,Male,2,yes
194,19,Male,2,no
195,20,Female,3,yes
196,19,Male,2,no
197,21,Female,2,yes
198,22,Male,3,no
199,21,Female,1,no
200,20,Male,2,no
201,20,Male,3,no
202,19,Female,1,no
203,20,Male,3,no
204,19,Male,1,yes
205,20,Female,2,no
206,18,Male,1,no
207,21,Female,2,no
208,19,Male,1,no
209,20,Male,2,yes
210,19,Female,3,yes
211,21,Male,3,yes
212,22,Female,3,yes
213,21,Male,1,no
214,20,Female,3,yes
215,20,Male,1,no
216,19,Male,1,yes
217,20,Female,3,no
218,19,Male,1,yes
219,19,Female,2,no
220,20,Male,2,yes
221,18,Female,3,no
222,21,Male,2,yes
223,19,Male,2,no
224,20,Female,3,yes
225,19,Male,2,no
226,21,Female,2,yes
227,22,Male,3,no
228,21,Female,1,no
229,20,Male,2,no
230,20,Male,3,yes
231,19,Female,1,yes
232,20,Male,3,
